COMPANY NAME,CITY,CLAT,CLON,CNUMBER,PROVINCE,PLAT,PLON,LAT,LON,PNUMBER
GDM Pipelines,Calgary,51.05,-114.066667,1,Alberta,55,-115,55,-115,2
Alberta Data Partnerships Ltd.,Edmonton,53.533333,-113.5,1,Alberta,55,-115,,,
Knomos,Vancouver,49.25,-123.1,3,British Columbia,54,-125,54,-125,3
Canada Businet Co.,Vancouver,49.25,-123.1,0,British Columbia,54,-125,,,
Urban Analytics,Vancouver,49.25,-123.1,0,British Columbia,54,-125,,,
HotSpot Parking Inc.,Fredericton,49.428056,-54.358056,1,New Brunswick,46,-66,46,-66,1
Zora Computing Inc.,Halifax,44.647778,-63.571389,1,Nova Scotia,45,-63,45,-63,1
Greenland Engineering and Technologies Group,Collingwood,44.5,-80.216667,1,Ontario,50,-85,50,-85,45
Midnight Illusions Ltd.,Guelph,43.55,-80.25,1,Ontario,50,-85,,,
Silicon Halton,Halton Region,43.466667,-79.866667,1,Ontario,50,-85,,,
Miovision,Kitchener,43.45,-80.483333,6,Ontario,50,-85,,,
Virtual Squared,Kitchener,43.45,-80.483333,0,Ontario,50,-85,,,
Pitstop ,Kitchener,43.45,-80.483333,0,Ontario,50,-85,,,
Spotzi Canada Ltd.,Kitchener,43.45,-80.483333,0,Ontario,50,-85,,,
D2L Corporation,Kitchener,43.45,-80.483333,0,Ontario,50,-85,,,
Focus21 Inc.,Kitchener,43.45,-80.483333,0,Ontario,50,-85,,,
Profound Ideation Inc.,Markham,43.883333,-79.25,2,Ontario,50,-85,,,
Stellar Optics Research International Corporation (SORIC),Markham,43.883333,-79.25,0,Ontario,50,-85,,,
Intuit Canada,Mississauga,43.6,-79.65,2,Ontario,50,-85,,,
Ambience Data,Mississauga ,43.6,-79.65,0,Ontario,50,-85,,,
Pelmorex Media Inc.,Oakville,43.45,-79.683333,1,Ontario,50,-85,,,
Third Sector Publishing,Orillia/Waterloo,44.6,-79.416667,1,Ontario,50,-85,,,
Gnowit Inc,Ottawa,45.416667,-75.683333,1,Ontario,50,-85,,,
Kleurvision Inc.,Port Perry,44.1,-78.95,1,Ontario,50,-85,,,
Proliteracy.ca,Richmond Hill,43.866667,-79.433333,1,Ontario,50,-85,,,
rel8ed.to,St Catharines,43.183333,-79.233333,1,Ontario,50,-85,,,
ThinkData Works,Toronto,43.7,-79.4,11,Ontario,50,-85,,,
Thomson Reuters,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
MapYourProperty,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
SensorSuite Inc.,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
Media Edge Communications,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
The Globe and Mail,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
Esri Canada Limited,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
Neatware Company,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
Manifold Data Mining Inc.,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
Dateva,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
Systematics,Toronto,43.7,-79.4,0,Ontario,50,-85,,,
"TrustPoint Innovation Technologies, Ltd.",Waterloo,43.466667,-80.516667,15,Ontario,50,-85,,,
Vidya Consutling Inc.,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
Ecopia,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
Terrene,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
SkyWatch,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
Data Perceptions,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
Piinpoint,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
ApplyBoard,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
airo health,waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
Knowledgehook,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
Athena Software,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
ChalkLette,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
Maplesoft,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
FISHBUOY - An ENVionX Inc. Company,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
eSolutionsGroup,Waterloo,43.466667,-80.516667,0,Ontario,50,-85,,,
Ajah,montreal,45.5,-73.566667,6,Quebec,53,-70,51.5,-72,6
Local Logic,Montreal,45.5,-73.566667,0,Quebec,53,-70,,,
Transit App,Montreal,45.5,-73.566667,0,Quebec,53,-70,,,
mnubo,Montreal,45.5,-73.566667,0,Quebec,53,-70,,,
reelyActive,Montreal,45.5,-73.566667,0,Quebec,53,-70,,,
Hexoskin,Montr_al ,45.5,-73.566667,0,Quebec,53,-70,,,
Townfolio,Saskatoon,52.133333,-106.683333,1,Saskatchewan,55,-106,55,-106,1