lat,lon,title,population
51.0834196,10.4234469,Germany,2479
46.603354,1.8883335,France,2008
54.7023545,-3.2765753,United Kingdom,1990
42.6384261,12.674297,Italy,1817
39.3262345,-4.8380649,Spain,1417
52.215933,19.134422,Poland,1149
45.9852129,24.6859225,Romania,615
52.5001698,5.7480821,Netherlands,607
50.6402809,4.6667145,Belgium,431
38.9953683,21.9877132,Greece,368
49.8167003,15.4749544,Czech Republic,384
40.0332629,-7.8896263,Portugal,363
59.6749712,14.5208584,Sweden,398
47.1817585,19.5060937,Hungary,341
47.2000338,13.199959,Austria,367
42.6073975,25.4856617,Bulgaria,246
55.670249,10.3333283,Denmark,281
63.2467777,25.9209164,Finland,256
48.7411522,19.4528646,Slovakia,224
52.865196,-7.9794599,Ireland,301
45.5643442,17.0118954,Croatia,173
55.3500003,23.7499997,Lithuania,151
45.8133113,14.4808369,Slovenia,136
56.8406494,24.7537645,Latvia,115
58.7523778,25.3319078,Estonia,109
34.9823018,33.1451285,Cyprus,101
49.8158683,6.1296751,Luxembourg,245
35.8885993,14.4476911,Malta,100